peer	proto	test	rps	status	app_proto	failed	errored	timeout
proactr	h2	plaintext	93745.00	ok	h2	0	0	0
proactr	h2	s4k	78865.80	ok	h2	0	0	0
proactr	h2	s64k	27921.07	ok	h2	0	0	0
proactr	h2	s1m	1783.40	ok	h2	0	0	0
proactr	h1s	plaintext	112981.93	ok	http/1.1	0	0	0
proactr	h1s	s4k	96423.87	ok	http/1.1	0	0	0
proactr	h1s	s64k	29566.53	ok	http/1.1	0	0	0
proactr	h1s	s1m	2778.33	ok	http/1.1	0	0	0
ntex	h2	plaintext	128197.27	ok	h2	0	0	0
ntex	h2	s4k	132529.47	ok	h2	0	0	0
ntex	h2	s64k	49094.27	ok	h2	0	0	0
ntex	h2	s1m	1121.80	ok	h2	0	0	0
ntex	h1s	plaintext	132578.53	ok	http/1.1	0	0	0
ntex	h1s	s4k	138991.47	ok	http/1.1	0	0	0
ntex	h1s	s64k	63417.67	ok	http/1.1	0	0	0
ntex	h1s	s1m	2076.20	ok	http/1.1	0	0	0
drogon	h2	plaintext	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s4k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s64k	N/A	no_h2	http/1.1	0	0	0
drogon	h2	s1m	N/A	no_h2	http/1.1	0	0	0
drogon	h1s	plaintext	149750.40	ok	http/1.1	0	0	0
drogon	h1s	s4k	150610.47	ok	http/1.1	0	0	0
drogon	h1s	s64k	67145.20	ok	http/1.1	0	0	0
drogon	h1s	s1m	9232.93	ok	http/1.1	0	0	0
go	h2	plaintext	112121.87	ok	h2	0	0	0
go	h2	s4k	111925.27	ok	h2	0	0	0
go	h2	s64k	36681.60	ok	h2	0	0	0
go	h2	s1m	3036.33	ok	h2	0	0	0
go	h1s	plaintext	142107.60	ok	http/1.1	0	0	0
go	h1s	s4k	119783.33	ok	http/1.1	0	0	0
go	h1s	s64k	51724.07	ok	http/1.1	0	0	0
go	h1s	s1m	4692.80	ok	http/1.1	0	0	0
